iLat;iLon;stops;services;route_segments;puntos
0;33;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;39-40/37-38/39-40/0-1/0-1;
0;34;PG1597/PG1643/PG1644/PG1650;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;39/37/39/1/1;
0;35;PG1570/PG1651;;;
0;36;PG1571/PG1652;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;40/38/40/0/0;
0;37;PG1569/PG1797;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;40/38/40/0/0;
0;38;PG1798/PG1799;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;40/38/40/0/0;
0;39;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;40/38/40/0/0;
0;40;PG1572;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;40-41-42/38-39-40/40-41-42/0/0;
1;34;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;38-39/36-37/38-39/1-2/1-2;
2;34;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;38/36/38/2/2;
2;35;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;38/36/38/2/2;
3;35;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;37-38/35-36/37-38/2-3/2-3;
4;35;PG1596/PG1645;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;37/35/37/3/3;
4;55;;G02I/G02R/G14I/G14R;31-32/0/18-19/0;
5;35;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;37/35/37/3/3;
5;36;PG1566/PG1646;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;37/35/37/3/3;
5;54;;G02I/G02R/G14I/G14R;29/2/16/2;
5;55;PG714/PG715;G02I/G02R/G14I/G14R;29-30-31/0-1-2/16-17-18/0-1-2;
6;36;;G07I/G07I_fmisa/G07I_fsa/G07R/G07R_fmisa;35-36-37/33-34-35/35-36-37/3-4-5/3-4-5;
6;42;PG1607;211I/211I_fsa/211R/G02I;47-48/50-51/0-1/15-16-17;
6;53;;G02I/G02R/G14I/G14R;29/2/16/2;
6;54;PG712/PG713/PG716/PG717;G02I/G02R/G14I/G14R;29/2/16/2;
