servicio;latitud;longitud;correlativo
101I;-33.4061799;-70.62325378;0
101I;-33.40507301;-70.62238374;1
101I;-33.40197557;-70.62751943;2
101I;-33.40229717;-70.62843936;3
101I;-33.40115884;-70.62996642;4
101I;-33.40033727;-70.62934896;5
101I;-33.40002267;-70.62995595;6
101I;-33.39788104;-70.63986119;7
101I;-33.3968151;-70.64272256;8
101I;-33.39534925;-70.6525969;9
101I;-33.39589476;-70.65834843;10
101I;-33.39756543;-70.66893815;11
101I;-33.39853726;-70.67110706;12
101I;-33.40301606;-70.68402013;13
101I;-33.40201002;-70.68903266;14
101I;-33.40048505;-70.69306733;15
101I;-33.39997584;-70.69601418;16
101I;-33.40027395;-70.69795529;17
101I;-33.40262342;-70.70221581;18
101I;-33.40700972;-70.70524758;19
101I;-33.40856989;-70.70590174;20
101I;-33.4085072;-70.70783601;21
101I;-33.41881372;-70.70333829;22
101I;-33.42022802;-70.70410796;23
101I;-33.42079155;-70.70181755;24
101I;-33.42848114;-70.70400038;25
101I;-33.42805117;-70.70641189;26
101I;-33.43236896;-70.70720629;27
101I;-33.44744636;-70.70727578;28
101I;-33.4507983;-70.7068251;29
101I;-33.45236645;-70.70624261;30
101I;-33.45549329;-70.70576594;31
101I;-33.4645467;-70.7051686;32
101I;-33.46557898;-70.70813701;33
101I;-33.47002518;-70.71725219;34
101I;-33.47334638;-70.72226766;35
101I;-33.48013655;-70.72359659;36
101I;-33.48135986;-70.724471;37
101I;-33.48212364;-70.72466909;38
101I;-33.48571274;-70.72467567;39
101I;-33.48910795;-70.72370977;40
101I;-33.49163374;-70.72236064;41
101I;-33.49486206;-70.72237076;42
101I;-33.49537969;-70.72211192;43
101I;-33.50020051;-70.71328398;44
101I;-33.50087606;-70.71007881;45
101I;-33.50415214;-70.71185482;46
101I;-33.50560347;-70.71385335;47
101I;-33.50382287;-70.72453971;48
101I;-33.50232008;-70.72883716;49
101I;-33.50182744;-70.73440324;50
101I;-33.50506289;-70.7358349;51
101I;-33.50844644;-70.7350628;52
101I;-33.50843504;-70.73458891;53
101I_cvd;-33.4061799;-70.62325378;0
101I_cvd;-33.40507301;-70.62238374;1
101I_cvd;-33.40197557;-70.62751943;2
101I_cvd;-33.40229717;-70.62843936;3
101I_cvd;-33.40115884;-70.62996642;4
101I_cvd;-33.40033727;-70.62934896;5
101I_cvd;-33.40002267;-70.62995595;6
101I_cvd;-33.39788104;-70.63986119;7
101I_cvd;-33.3968151;-70.64272256;8
101I_cvd;-33.39534925;-70.6525969;9
101I_cvd;-33.39589476;-70.65834843;10
101I_cvd;-33.39756543;-70.66893815;11
101I_cvd;-33.39853726;-70.67110706;12
101I_cvd;-33.40301606;-70.68402013;13
101I_cvd;-33.40201002;-70.68903266;14
101I_cvd;-33.40048505;-70.69306733;15
101I_cvd;-33.39997584;-70.69601418;16
101I_cvd;-33.40027395;-70.69795529;17
101I_cvd;-33.40262342;-70.70221581;18
101I_cvd;-33.40700972;-70.70524758;19
101I_cvd;-33.40856989;-70.70590174;20
101I_cvd;-33.4085072;-70.70783601;21
101I_cvd;-33.4160651;-70.70451054;22
101I_cvd;-33.41589389;-70.70121656;23
101I_cvd;-33.41982122;-70.70089527;24
101I_cvd;-33.42088301;-70.70106654;25
101I_cvd;-33.42079155;-70.70181755;26
101I_cvd;-33.42848114;-70.70400038;27
101I_cvd;-33.42805117;-70.70641189;28
101I_cvd;-33.43236896;-70.70720629;29
101I_cvd;-33.44744636;-70.70727578;30
101I_cvd;-33.4507983;-70.7068251;31
101I_cvd;-33.45236645;-70.70624261;32
101I_cvd;-33.45549329;-70.70576594;33
101I_cvd;-33.4645467;-70.7051686;34
101I_cvd;-33.46557898;-70.70813701;35
101I_cvd;-33.47002518;-70.71725219;36
101I_cvd;-33.47334638;-70.72226766;37
101I_cvd;-33.48013655;-70.72359659;38
101I_cvd;-33.48135986;-70.724471;39
101I_cvd;-33.48212364;-70.72466909;40
101I_cvd;-33.48571274;-70.72467567;41
101I_cvd;-33.48910795;-70.72370977;42
101I_cvd;-33.49163374;-70.72236064;43
101I_cvd;-33.49486206;-70.72237076;44
101I_cvd;-33.49537969;-70.72211192;45
101I_cvd;-33.50020051;-70.71328398;46
101I_cvd;-33.50087606;-70.71007881;47
101I_cvd;-33.50415214;-70.71185482;48
101I_cvd;-33.50560347;-70.71385335;49
101I_cvd;-33.50382287;-70.72453971;50
101I_cvd;-33.50232008;-70.72883716;51
101I_cvd;-33.50182744;-70.73440324;52
101I_cvd;-33.50506289;-70.7358349;53
101I_cvd;-33.50844644;-70.7350628;54
101I_cvd;-33.50843504;-70.73458891;55
101I_fmisa;-33.4061799;-70.62325378;0
101I_fmisa;-33.40507301;-70.62238374;1
101I_fmisa;-33.40197557;-70.62751943;2
101I_fmisa;-33.40229717;-70.62843936;3
101I_fmisa;-33.40115884;-70.62996642;4
101I_fmisa;-33.40033727;-70.62934896;5
101I_fmisa;-33.40002267;-70.62995595;6
101I_fmisa;-33.39788104;-70.63986119;7
101I_fmisa;-33.3968151;-70.64272256;8
101I_fmisa;-33.39534925;-70.6525969;9
101I_fmisa;-33.39589476;-70.65834843;10
101I_fmisa;-33.39756543;-70.66893815;11
101I_fmisa;-33.39853726;-70.67110706;12
101I_fmisa;-33.40301606;-70.68402013;13
101I_fmisa;-33.40201002;-70.68903266;14
101I_fmisa;-33.40048505;-70.69306733;15
101I_fmisa;-33.39997584;-70.69601418;16
101I_fmisa;-33.40027395;-70.69795529;17
101I_fmisa;-33.40262342;-70.70221581;18
101I_fmisa;-33.40700972;-70.70524758;19
101I_fmisa;-33.40856989;-70.70590174;20
101I_fmisa;-33.4085072;-70.70783601;21
101I_fmisa;-33.41881372;-70.70333829;22
101I_fmisa;-33.42022802;-70.70410796;23
101I_fmisa;-33.42079155;-70.70181755;24
101I_fmisa;-33.42848114;-70.70400038;25
101I_fmisa;-33.42805117;-70.70641189;26
101I_fmisa;-33.43236896;-70.70720629;27
101I_fmisa;-33.44744636;-70.70727578;28
101I_fmisa;-33.4507983;-70.7068251;29
101I_fmisa;-33.45236645;-70.70624261;30
101I_fmisa;-33.45549329;-70.70576594;31
101I_fmisa;-33.4645467;-70.7051686;32
101I_fmisa;-33.46557898;-70.70813701;33
101I_fmisa;-33.47002518;-70.71725219;34
101I_fmisa;-33.47334638;-70.72226766;35
101I_fmisa;-33.48013655;-70.72359659;36
101I_fmisa;-33.48135986;-70.724471;37
101I_fmisa;-33.48212364;-70.72466909;38
101I_fmisa;-33.48571274;-70.72467567;39
101I_fmisa;-33.48910795;-70.72370977;40
101I_fmisa;-33.49163374;-70.72236064;41
101I_fmisa;-33.49486206;-70.72237076;42
101I_fmisa;-33.49537969;-70.72211192;43
101I_fmisa;-33.50020051;-70.71328398;44
101I_fmisa;-33.50087606;-70.71007881;45
101I_fmisa;-33.50415214;-70.71185482;46
101I_fmisa;-33.50560347;-70.71385335;47
101I_fmisa;-33.50382287;-70.72453971;48
101I_fmisa;-33.5023004;-70.72895517;49
101I_fmisa;-33.50462069;-70.72941038;50
101I_fmisa;-33.50316306;-70.73497887;51
101I_fmisa;-33.50509895;-70.73583562;52
101I_fmisa;-33.50844644;-70.7350628;53
101I_fmisa;-33.50843504;-70.73458891;54
101R;-33.50843504;-70.73458891;0
101R;-33.50515066;-70.73536301;1
101R;-33.50189733;-70.73392024;2
101R;-33.50232008;-70.72883716;3
101R;-33.5037748;-70.72475405;4
101R;-33.5048962;-70.71803763;5
101R;-33.49860767;-70.71629878;6
101R;-33.49531598;-70.72215371;7
101R;-33.49486206;-70.72237076;8
101R;-33.49163374;-70.72236064;9
101R;-33.4892014;-70.72347484;10
101R;-33.4854597;-70.7247137;11
101R;-33.48165001;-70.72435837;12
101R;-33.48014706;-70.72348918;13
101R;-33.47385215;-70.7222131;14
101R;-33.47313748;-70.72172549;15
101R;-33.47019991;-70.71700815;16
101R;-33.46577984;-70.70795803;17
101R;-33.46445803;-70.70440292;18
101R;-33.4645028;-70.70508166;19
101R;-33.45549329;-70.70576594;20
101R;-33.44781645;-70.70725076;21
101R;-33.43239601;-70.70720682;22
101R;-33.42805117;-70.70641189;23
101R;-33.42848114;-70.70400038;24
101R;-33.42072031;-70.70175164;25
101R;-33.42055745;-70.70244748;26
101R;-33.41890388;-70.70334005;27
101R;-33.4085072;-70.70783601;28
101R;-33.4086299;-70.7054728;29
101R;-33.40562734;-70.70412382;30
101R;-33.40263391;-70.70210849;31
101R;-33.40065442;-70.69848953;32
101R;-33.40005875;-70.69588677;33
101R;-33.40053811;-70.69314362;34
101R;-33.40188418;-70.68966459;35
101R;-33.40297018;-70.68540627;36
101R;-33.40324645;-70.68299237;37
101R;-33.40218237;-70.6789936;38
101R;-33.39970416;-70.67218307;39
101R;-33.39851601;-70.67067658;40
101R;-33.39761225;-70.66881003;41
101R;-33.39594958;-70.65829571;42
101R;-33.39534925;-70.6525969;43
101R;-33.3968151;-70.64272256;44
101R;-33.39799364;-70.63953001;45
101R;-33.39981592;-70.63196269;46
101R;-33.4061799;-70.62325378;47
101R_fmisa;-33.50843504;-70.73458891;0
101R_fmisa;-33.50515066;-70.73536301;1
101R_fmisa;-33.50327758;-70.73452905;2
101R_fmisa;-33.50462069;-70.72941038;3
101R_fmisa;-33.5023004;-70.72895517;4
101R_fmisa;-33.5037748;-70.72475405;5
101R_fmisa;-33.5048962;-70.71803763;6
101R_fmisa;-33.49860767;-70.71629878;7
101R_fmisa;-33.49531598;-70.72215371;8
101R_fmisa;-33.49486206;-70.72237076;9
101R_fmisa;-33.49163374;-70.72236064;10
101R_fmisa;-33.4892014;-70.72347484;11
101R_fmisa;-33.4854597;-70.7247137;12
101R_fmisa;-33.48165001;-70.72435837;13
101R_fmisa;-33.48014706;-70.72348918;14
101R_fmisa;-33.47385215;-70.7222131;15
101R_fmisa;-33.47313748;-70.72172549;16
101R_fmisa;-33.47019991;-70.71700815;17
101R_fmisa;-33.46577984;-70.70795803;18
101R_fmisa;-33.46445803;-70.70440292;19
101R_fmisa;-33.4645028;-70.70508166;20
101R_fmisa;-33.45549329;-70.70576594;21
101R_fmisa;-33.44781645;-70.70725076;22
101R_fmisa;-33.43239601;-70.70720682;23
101R_fmisa;-33.42805117;-70.70641189;24
101R_fmisa;-33.42848114;-70.70400038;25
101R_fmisa;-33.42072031;-70.70175164;26
101R_fmisa;-33.42055745;-70.70244748;27
101R_fmisa;-33.41890388;-70.70334005;28
101R_fmisa;-33.4085072;-70.70783601;29
101R_fmisa;-33.4086299;-70.7054728;30
101R_fmisa;-33.40562734;-70.70412382;31
101R_fmisa;-33.40263391;-70.70210849;32
101R_fmisa;-33.40065442;-70.69848953;33
101R_fmisa;-33.40005875;-70.69588677;34
101R_fmisa;-33.40053811;-70.69314362;35
101R_fmisa;-33.40188418;-70.68966459;36
101R_fmisa;-33.40297018;-70.68540627;37
101R_fmisa;-33.40324645;-70.68299237;38
101R_fmisa;-33.40218237;-70.6789936;39
101R_fmisa;-33.39970416;-70.67218307;40
101R_fmisa;-33.39851601;-70.67067658;41
101R_fmisa;-33.39761225;-70.66881003;42
101R_fmisa;-33.39594958;-70.65829571;43
101R_fmisa;-33.39534925;-70.6525969;44
101R_fmisa;-33.3968151;-70.64272256;45
101R_fmisa;-33.39799364;-70.63953001;46
101R_fmisa;-33.39981592;-70.63196269;47
101R_fmisa;-33.4061799;-70.62325378;48
102I;-33.46318393;-70.69538301;0
102I;-33.46070479;-70.69598029;1
102I;-33.45979348;-70.69403666;2
102I;-33.45271407;-70.69668535;3
102I;-33.45431446;-70.70164389;4
102I;-33.4560802;-70.70571288;5
102I;-33.47133878;-70.70440852;6
102I;-33.47867033;-70.70245364;7
102I;-33.48318218;-70.69633224;8
102I;-33.48462724;-70.69221697;9
102I;-33.48427261;-70.68978859;10
102I;-33.48482595;-70.68822805;11
102I;-33.48633538;-70.68665374;12
102I;-33.48939615;-70.68240797;13
102I;-33.4934289;-70.67763172;14
102I;-33.49877556;-70.6703723;15
102I;-33.49938598;-70.66924303;16
102I;-33.50039707;-70.66648528;17
102I;-33.50250835;-70.65834474;18
102I;-33.50377787;-70.65445062;19
102I;-33.50726082;-70.63870297;20
102I;-33.5071238;-70.63200449;21
102I;-33.50776043;-70.62405019;22
102I;-33.50866332;-70.60668103;23
102I;-33.5097448;-70.59207068;24
102I;-33.51081887;-70.58989416;25
102I;-33.510844;-70.58793527;26
102I;-33.51697073;-70.58344996;27
102I;-33.52030261;-70.58030216;28
102I;-33.52166739;-70.57935795;29
102I;-33.53191409;-70.57495698;30
102I;-33.53562757;-70.57369977;31
102I;-33.54761734;-70.56837045;32
102I;-33.5597101;-70.55843124;33
102I;-33.56289646;-70.55533223;34
102I;-33.56355721;-70.55513941;35
102I;-33.56534982;-70.55530082;36
102I;-33.56783808;-70.55464521;37
102I;-33.5710345;-70.55504725;38
102I;-33.57375956;-70.55492375;39
102I;-33.57919021;-70.55191817;40
102I;-33.57959097;-70.55160212;41
102I;-33.57941389;-70.55134037;42
102R;-33.57941389;-70.55134037;0
102R;-33.57323744;-70.55484974;1
102R;-33.56802016;-70.55450842;2
102R;-33.56547794;-70.5551523;3
102R;-33.56362236;-70.55497899;4
102R;-33.56289862;-70.55515992;5
102R;-33.55737163;-70.56008036;6
102R;-33.54748619;-70.56804497;7
102R;-33.53423524;-70.57397606;8
102R;-33.5307846;-70.57513032;9
102R;-33.52155499;-70.57897906;10
102R;-33.51961614;-70.58038657;11
102R;-33.51789498;-70.58240091;12
102R;-33.51293284;-70.5860894;13
102R;-33.51011414;-70.58647935;14
102R;-33.5100406;-70.58799595;15
102R;-33.51047971;-70.58961882;16
102R;-33.50971468;-70.59160721;17
102R;-33.50860273;-70.60648613;18
102R;-33.50705428;-70.63112044;19
102R;-33.50700007;-70.63864423;20
102R;-33.50398775;-70.65291527;21
102R;-33.50091402;-70.66425622;22
102R;-33.49928477;-70.66939179;23
102R;-33.49308455;-70.67775424;24
102R;-33.48471659;-70.68831202;25
102R;-33.48421954;-70.68971222;26
102R;-33.48452038;-70.69211803;27
102R;-33.48326108;-70.69583873;28
102R;-33.47857219;-70.70237639;29
102R;-33.47133878;-70.70440852;30
102R;-33.46305837;-70.70519325;31
102R;-33.4575641;-70.70535463;32
102R;-33.45549332;-70.69722363;33
102R;-33.46318393;-70.69538301;34
102R_fsa;-33.57941389;-70.55134037;0
102R_fsa;-33.57323744;-70.55484974;1
102R_fsa;-33.56802016;-70.55450842;2
102R_fsa;-33.56547794;-70.5551523;3
102R_fsa;-33.56362236;-70.55497899;4
102R_fsa;-33.56289862;-70.55515992;5
102R_fsa;-33.55737163;-70.56008036;6
102R_fsa;-33.54748619;-70.56804497;7
102R_fsa;-33.53423524;-70.57397606;8
102R_fsa;-33.5307846;-70.57513032;9
102R_fsa;-33.52155499;-70.57897906;10
102R_fsa;-33.52036453;-70.57968957;11
102R_fsa;-33.51732993;-70.58286435;12
102R_fsa;-33.51050194;-70.58788596;13
102R_fsa;-33.51015197;-70.58775038;14
102R_fsa;-33.51011414;-70.58647935;15
102R_fsa;-33.5100406;-70.58799595;16
102R_fsa;-33.51047971;-70.58961882;17
102R_fsa;-33.50971468;-70.59160721;18
102R_fsa;-33.50860273;-70.60648613;19
102R_fsa;-33.50705428;-70.63112044;20
102R_fsa;-33.50700007;-70.63864423;21
102R_fsa;-33.50398775;-70.65291527;22
102R_fsa;-33.50091402;-70.66425622;23
102R_fsa;-33.49928477;-70.66939179;24
102R_fsa;-33.49308455;-70.67775424;25
102R_fsa;-33.48471659;-70.68831202;26
102R_fsa;-33.48421954;-70.68971222;27
102R_fsa;-33.48452038;-70.69211803;28
102R_fsa;-33.48326108;-70.69583873;29
102R_fsa;-33.47857219;-70.70237639;30
102R_fsa;-33.47133878;-70.70440852;31
102R_fsa;-33.46305837;-70.70519325;32
102R_fsa;-33.4575641;-70.70535463;33
102R_fsa;-33.45549332;-70.69722363;34
102R_fsa;-33.46318393;-70.69538301;35
103I;-33.42882668;-70.62036263;0
103I;-33.42961867;-70.61979655;1
103I;-33.4291884;-70.6189066;2
103I;-33.42596671;-70.61492117;3
103I;-33.42460697;-70.61199215;4
103I;-33.43066967;-70.60972723;5
103I;-33.4381025;-70.6075088;6
103I;-33.45349537;-70.60483424;7
103I;-33.46597834;-70.60679668;8
103I;-33.47688959;-70.60616948;9
103I;-33.47738938;-70.60587739;10
103I;-33.4906296;-70.60646622;11
103I;-33.49026645;-70.60177757;12
103I;-33.49735935;-70.60212349;13
103I;-33.49942735;-70.60260292;14
103I;-33.50138407;-70.60052916;15
103I;-33.50898516;-70.60202555;16
103I;-33.50772778;-70.62103532;17
103I;-33.50996023;-70.6206571;18
103I_cvd;-33.42882668;-70.62036263;0
103I_cvd;-33.42961867;-70.61979655;1
103I_cvd;-33.4291884;-70.6189066;2
103I_cvd;-33.42596671;-70.61492117;3
103I_cvd;-33.42460697;-70.61199215;4
103I_cvd;-33.43144855;-70.60947272;5
103I_cvd;-33.43942291;-70.60722121;6
103I_cvd;-33.45349537;-70.60483424;7
103I_cvd;-33.46597834;-70.60679668;8
103I_cvd;-33.47688959;-70.60616948;9
103I_cvd;-33.47738938;-70.60587739;10
103I_cvd;-33.4906296;-70.60646622;11
103I_cvd;-33.49026645;-70.60177757;12
103I_cvd;-33.49550343;-70.60198166;13
103I_cvd;-33.49548505;-70.59991468;14
103I_cvd;-33.49908123;-70.60007773;15
103I_cvd;-33.50898516;-70.60202555;16
103I_cvd;-33.50772778;-70.62103532;17
103I_cvd;-33.50996023;-70.6206571;18
103R;-33.50996023;-70.6206571;0
103R;-33.51429763;-70.61999513;1
103R;-33.51627252;-70.6241339;2
103R;-33.51494757;-70.62476587;3
103R;-33.51296518;-70.62464268;4
103R;-33.50792717;-70.62577574;5
103R;-33.50772207;-70.62559966;6
103R;-33.50866332;-70.60668103;7
103R;-33.50895604;-70.60427499;8
103R;-33.49747754;-70.60205032;9
103R;-33.49070838;-70.60177494;10
103R;-33.49022844;-70.60192755;11
103R;-33.49055789;-70.6064326;12
103R;-33.47738938;-70.60587739;13
103R;-33.47688959;-70.60616948;14
103R;-33.46597834;-70.60679668;15
103R;-33.45321559;-70.6048506;16
103R;-33.43843805;-70.6073644;17
103R;-33.43066967;-70.60972723;18
103R;-33.42358185;-70.61245716;19
103R;-33.42691477;-70.6162186;20
103R;-33.42882668;-70.62036263;21
103R_cvd;-33.50996023;-70.6206571;0
103R_cvd;-33.51429763;-70.61999513;1
103R_cvd;-33.5147011;-70.62086394;2
103R_cvd;-33.51302821;-70.62189856;3
103R_cvd;-33.50776043;-70.62405019;4
103R_cvd;-33.50866332;-70.60668103;5
103R_cvd;-33.50895604;-70.60427499;6
103R_cvd;-33.49747754;-70.60205032;7
103R_cvd;-33.49070838;-70.60177494;8
103R_cvd;-33.49022844;-70.60192755;9
103R_cvd;-33.49055789;-70.6064326;10
103R_cvd;-33.47738938;-70.60587739;11
103R_cvd;-33.47688959;-70.60616948;12
103R_cvd;-33.46597834;-70.60679668;13
103R_cvd;-33.45321559;-70.6048506;14
103R_cvd;-33.43843805;-70.6073644;15
103R_cvd;-33.43066967;-70.60972723;16
103R_cvd;-33.42358185;-70.61245716;17
103R_cvd;-33.42691477;-70.6162186;18
103R_cvd;-33.42882668;-70.62036263;19
104I;-33.42076139;-70.60811397;0
104I;-33.42181675;-70.60740212;1
104I;-33.42366442;-70.60679089;2
104I;-33.42319623;-70.60464206;3
104I;-33.44158581;-70.59966661;4
104I;-33.44864148;-70.59870961;5
104I;-33.44929273;-70.59786091;6
104I;-33.45420656;-70.59865037;7
