code;name;latitude;longitude;services
PA1;(M) Quinta Normal;-33.44012613;-70.68002548;109-406-422-426-505-507-508-513-B26-B28-J01-J02-J05-J16
PA10;El Mirador / Bascuñán Guerrero;-33.46677116;-70.6716302;109-109N-119-345-511-I18
PA100;Persa Biobío;-33.47405799;-70.64194073;203-206-385
PA101;Franklin - Santa Rosa;-33.47199148;-70.64204164;203-203e-206-385
PA102;Sargento Aldea - Santa Rosa;-33.4686251;-70.64223638;203-206-385-I01
PA103;Miguel León Prado - Santa Rosa;-33.46464577;-70.64240879;203-206-385-I01
PA104;Hospital Sn Borja Arriarán;-33.4608973;-70.64285454;203-203e-206-385-I01
PA105;Colegio María Auxiliadora;-33.45767231;-70.64326709;203-203e-206-385
PA106;Colegio Santa María;-33.45212394;-70.64410914;203-206-385
PA107;Cóndor - Santa Rosa;-33.44986438;-70.64448605;203-203e-206-214-226-385
PA108;Eleuterio Ramírez - Santa Rosa;-33.44695266;-70.64507655;203-206-214-226-385
PA109;(M) Santa Lucía;-33.44339581;-70.64603133;203-203e-208-B30N-B31N
PA11;Fray De La Peña / Bascuñán Guerrero;-33.46269181;-70.67253099;109-109N-119-345-511-I18
PA111;Iglesia La Merced;-33.43834244;-70.646947;203-208-B02N-B30N-B31N
PA112;Casa De Los Velasco;-33.43600216;-70.64729;203-208-B02N-B30N-B31N
PA113;Mercado Central;-33.43378609;-70.64778592;203-208-B02N-B27-B30N-B31N
PA114;Huérfanos - Mac - Iver;-33.43963502;-70.64672402;203e-206-207e-214-226-230-404
PA115;(M) Santa Lucía;-33.4433254;-70.64590091;204-204N-204e
PA116;Sara Del Campo / Carmen;-33.44418323;-70.6430987;204-204N-205-209
PA117;Marín / Carmen;-33.44734896;-70.64239461;204-204N
PA118;Santa Isabel / Carmen;-33.44968492;-70.64169635;204-204N-204e
PA119;10 De Julio / Carmen;-33.45249113;-70.64089933;204-204N
PA12;Blanco Encalada / Bascuñán Guerrero;-33.4587471;-70.67347734;109-109N-119-345-511-I18
PA120;Coquimbo / Carmen;-33.45435483;-70.6404503;204-204N
PA121;Manuel A Matta / Carmen;-33.45713285;-70.63973875;204-204N-204e
PA122;Santa Elvira / Carmen;-33.46046369;-70.63882237;204-204N
PA123;M León Prado / Carmen;-33.46331454;-70.63805829;204-204N-204e
PA124;Maule / Carmen;-33.4659118;-70.63737548;204-204N
PA125;Ñuble / Carmen;-33.46824688;-70.6367415;204-204N
PA126;Franklin / Carmen;-33.47219249;-70.63570733;204-204N-D07
PA127;Franklin / Sierra Bella;-33.47248268;-70.6328504;204-204N
PA128;Ñuble / Sierra Bella;-33.46842861;-70.63390419;204-204N
PA129;Maule / Sierra Bella;-33.46596675;-70.63457891;204-204N
PA13;Toesca / Bascuñán Guerrero;-33.45611477;-70.67407228;109-109N-345-507-511-I18
PA130;M León Prado / Sierra Bella;-33.46351404;-70.635243;204-204N-204e
PA131;Santa Elvira / Sierra Bella;-33.46028269;-70.63613989;204-204N
PA132;Manuel A Matta / Sierra Bella;-33.45738833;-70.63678485;204-204N-204e
PA133;Coquimbo / Lira;-33.45485603;-70.63732898;204-204N
