iLat;iLon;stops;services;route_segments;puntos
0;33;;G07I/G07R;39-40/0-1;
0;34;PG1597/PG1643/PG1644/PG1650;G07I/G07R;39/1;
0;35;PG1570/PG1651;;;
0;36;PG1571/PG1652;G07I/G07R;40/0;
0;37;PG1569/PG1797;G07I/G07R;40/0;
0;38;PG1798/PG1799;G07I/G07R;40/0;
0;39;;G07I/G07R;40/0;
0;40;PG1572;G07I/G07R;40-41-42/0;
1;34;;G07I/G07R;38-39/1-2;
2;34;;G07I/G07R;38/2;
2;35;;G07I/G07R;38/2;
3;35;;G07I/G07R;37-38/2-3;
4;35;PG1596/PG1645;G07I/G07R;37/3;
4;55;;G02I/G02R/G14I/G14R;31-32/0/18-19/0;
5;35;;G07I/G07R;37/3;
5;36;PG1566/PG1646;G07I/G07R;37/3;
5;54;;G02I/G02R/G14I/G14R;29/2/16/2;
5;55;PG714/PG715;G02I/G02R/G14I/G14R;29-30-31/0-1-2/16-17-18/0-1-2;
6;36;;G07I/G07R;35-36-37/3-4-5;
6;42;PG1607;211I/211R/G02I;47-48/0-1/15-16-17;
6;53;;G02I/G02R/G14I/G14R;29/2/16/2;
6;54;PG712/PG713/PG716/PG717;G02I/G02R/G14I/G14R;29/2/16/2;
7;36;PG1567/PG1647;G07I/G07R;35/5;
7;42;PG1615;211I/211R/G02I;47/1/15-17;
7;43;PG1702;211I/G02I;46-47/14-15;
7;45;;G02I/G02R;24/7;
7;46;PG704/PG725;G02I/G02R;24-25/6-7;
7;52;;G02I/G02R/G14I/G14R;29/2/16/2;
7;53;PG1614/PG1630/PG711/PG718;G02I/G02R/G14I/G14R;29/2/16/2;
8;36;PG1565/PG1648;G07I/G07R;34-35/5-6;
8;39;;G07I/G07R;32/8;
8;40;;G07I/G07R;32/8-9;
8;41;;G07I/G07R;31-32/9;
8;42;PG1574/PG1641;211R/G02I/G07I/G07R;1/17-18-19/29-30-31/9-10;
8;43;PG1605/PG703;211I/G02I/G02R/G07I;45-46/13-14-19-20/10-11/28-29;
8;44;PG1628/PG1629;G02I/G02R;20-21-22-23-24/7-8-9-10;
8;45;PG1751/PG1752;G02I/G02R;24/7;
8;46;;G02I/G02R;25/6;
8;47;PG705/PG724;G02I/G02R;25/6;
8;48;PG706/PG723;G02I/G02R;25/6;
8;49;PG707/PG722;G02I/G02R;25/6;
8;50;PG708/PG721;G02I/G02R;25-26/5-6;
8;51;PG709/PG720;G02I/G02R;26-27-28/3-4-5;
8;52;PG1212/PG710/PG719;G02I/G02R/G14I/G14R;28-29/2-3/15-16/2-3;
8;63;PF1140;207eI/207eR/209I/209R/209eI/209eR/230I/230R;23-24/0/29-30/0/29-30/0/52-53/0;
9;36;;G07I/G07R;33-34/6-7;
9;37;PG1564/PG1649;G07I/G07R;32-33/7-8;
9;38;;G07I/G07R;32/8;
9;39;PG1768/PG1769;G07I/G07R;32/8;
9;42;;211R/G07R;1-2-3/10-11-12;
9;43;PG1745/PG702;211I/211R/G02I/G02R/G07I/G07R;44-45/3-4/12-13/11-12/27-28/12-13;
9;44;PG728;211R/G07R;4/13;
9;51;PG1601/PG1603;G14I/G14R;15/3;
9;52;PG1754/PG1755;G14I/G14R;15/3;
9;63;;207eI/207eR/209I/209R/209eI/209eR/230I/230R;23/0-1-2/28-29/0-1/28-29/0-1/51-52/0-1;
9;64;;209I/209R/209eI/209eR/230I/230R;28/1-2/28/1-2/51/1-2;
9;65;PF1109/PF1110;209I/209R/209eI/209eR/230I/230R/F18I/F18R;27-28/2/27-28/2/50-51/2-3/5-6/18-19;
9;66;PF1108;209I/209R/209eI/209eR/F18I/F18R;27/2/27/2/4-5/19-20;
9;67;;209I/209R/209eI/209eR;27/2/27/2;
9;68;;209I/209R/209eI/209eR/F10I/F10R/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;24-25-26-27/2-3-4-5/24-25-26-27/2-3-4-5/0-1-2/25-26-27-28/0-1-2/20-21-22-23/0-1-2/23-24-25-26/0-1-2/30-31-32-33/0-1-2/24-25-26-27/0-1-2/37-38-39-40/0-1-2/22-23-24-25/0-1-2/48-49-50-51/0-1-2/30-31-32-33/0-1-2/41-42-43-44;
10;42;;G08vI/G08vR;0/37-38;
10;43;PG1790;211I/G02I/G02R/G07I/G08vI/G08vR;44/12/12/27/0-1/36-37;
10;44;;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;43-44/4/11-12/12-13/26-27/13-14/1-2/35-36;
10;51;;G14I/G14R;15/3;
10;63;PF1122/PG1918;207eI/207eR;22-23/2;
10;64;PF1124;207eI/207eR/230I/230R;22/2/47-48-49/4-5-6;
10;65;PF1141/PF1142/PF713/PF739;230I/230R/F18I/F18R;47-49-50/3-4-6/6-7/17-18;
10;66;PF710/PF742;F18I/F18R/F25I/F25R/F25eI;3-4/20-21/3-4/46-47/3-4;
10;67;PF621/PF672;F18I/F18R/F25I/F25R/F25eI;3/21/3/47/3;
10;68;PF494;209I/209R/209eI/209eR/F10I/F10R/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;24-26-27/2-3-5/24-26-27/2-3-5/2/25/2/20/2/23/2/30/2/24/2/37/2/22/2/48/2/30/2/41;
10;71;;F12cI/F12cR;8-9/16-17;
10;72;PF1038;F12cI/F12cR;20-21/8-9;
10;73;PF1028/PF1039/PF544/PF830;F12I/F12R/F12cI/F12cR;11-12/9-10/21-22/7-8;
10;74;PF545/PF546/PF565/PF566;F02I/F02R/F12I/F12R;9-10/0-1/12-13/8-9;
10;76;;F16R;0-1;
10;77;;F16R;0;
11;44;PG1763/PG1764/PG700/PG729;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;42-43/4-5/10-11/13-14/25-26/14/2-3/34-35;
11;50;PG1211/PG1213;G14I/G14R;14-15/3-4;
11;51;PG1600/PG1604;G14I/G14R;15/3;
11;62;PG1693;F03R;17-18;
11;64;PF1123/PF114/PF1143/PF586/PG1655/PG187/PG188;207eI/207eR/230I/230R/F13I/F13R/F13cI/F13cR/F30NI/F30NR;22/2/45-46/7-8/5-6/26-27/5-6/20-21/5-6/37-38;
11;65;PF585/PF588/PF598/PF600/PF601/PF714/PF715/PF737/PF738/PF833;230I/230R/F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;46-47/6-7/4-5-8-9-10-11/22-23-24-27-28/4-5-8-9-10-11/16-17-18-21-22/7-8/15-16-17/4-5-8-9-10-11/33-34-35-38-39;
11;66;PF583/PF584/PF589/PF597/PF602/PF848/PF849/PF864;F13I/F13R/F13cI/F13cR/F25I/F25R/F25eI/F30NI/F30NR;3-4-11-12/21-22-28-29/3-4-11-12/15-16-22-23/4-5-6/44-45-46/4-5-6/3-4-11-12/32-33-39-40;
11;67;PF582/PF603/PF620/PF673;F13I/F13R/F13cI/F13cR/F18I/F18R/F25I/F25R/F25eI/F30NI/F30NR;3/29/3/23/3/21/3/47/3/3/40;
11;68;PF467/PF468/PF581/PF604/PF674/PF863;209I/209R/209eI/209eR/F10I/F10R/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;23-24/5-6/23-24/5-6/2-3/24-25/2/20/2-3/22-23/2-3/29-30/2-3/23-24/2/37/2-3/21-22/2-3/47-48/2-3/30/2-3/40-41;
11;69;PF1115/PF1118/PF1119/PF469/PF493/PF883/PF885/PF940;209R/209eR/F10I/F10R/F12cI/F12cR;6-7-8-9/6-7-8-9/3-4-5-6/21-22-23-24/3-4-5/20-21-22;
11;70;PF1113/PF1114/PF1117;F12cI/F12cR;5-6-7/18-19-20;
11;71;PF1116;F12cI/F12cR;7-8-9-10/15-16-17-18;
11;72;PF1022/PF1023/PF1024/PF1025;F12cI/F12cR;10-11-20/9-14-15;
11;73;PF542/PF543/PF569/PF875/PF952;F12I/F12R/F12cI/F12cR;11/10/22-23/6-7;
11;74;PF547/PF548/PF564/PF953;F02I/F02R/F12I/F12R/F12cI/F12cR/F30NI;9/1/13/8/23-24/5-6/20-21-22;
11;76;PF258;F16R;1-2-3;
11;77;PF257/PF259/PF897;F16I/F16R;24-25/0-3;
11;78;;F16I;24;
12;44;;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;42/5/10/14/25/14/3/34;
12;45;PG1453/PG1456/PG699/PG730;211I/211R/G02I/G02R/G07I/G07R/G08I/G08R/G08vI/G08vR;42/5/10/14/25/14/8/27/3/34;
12;46;PB1539/PG1452/PG1454/PG1455;G08I/G08R;8/27;
12;47;PG1443/PG1582;G08I/G08R;8-9/26-27;
12;50;;G14I/G14R;13-14/4-5;
12;61;PG1692/PG557;F03R;16-17;
12;62;PG1683/PG559;F03R;17-18;
12;63;PG1696/PG1714;F03I/F03R;13/19;
12;64;PF116/PF587/PF599/PF831/PF832/PF834/PG1697/PG1701/PG185;207eI/207eR/230I/230R/F03I/F03R/F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;22/2/45/8/12-13/19-20/6-7-8/24-25-26/6-7-8/18-19-20/9-10-11/13-14-15/6-7-8/35-36-37;
12;65;;F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;8/24/8/18/8-9/15/8/35;
12;66;;F13I/F13R/F13cI/F13cR/F25I/F25R/F25eI/F30NI/F30NR;12/21/12/15/6/44/6/12/32;
